,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
402,Charles Bradley,"Bradley, Charles",1981,Y,76230,HISTADD_charles_bradley,0,,,,0,,1983
403,Dudley Bradley,"Bradley, Dudley",1979,Y,76231,HISTADD_dudley_bradley,0,,,,0,,1988
404,Joe Bradley,"Bradley, Joe",1949,Y,76232,HISTADD_joe_bradley,0,,,,0,,1949
405,Michael Bradley,"Bradley, Michael",2001,Y,2214,michael_bradley,0,,,,0,,2005
406,Shawn Bradley,"Bradley, Shawn",1993,Y,762,shawn_bradley,0,,,,0,,2004
407,Tony Bradley,"Bradley, Tony",2017,Y,1628396,tony_bradley,0,,,,0,,2017
408,Mark Bradtke,"Bradtke, Mark",1996,Y,1361,mark_bradtke,0,,,,0,,1996
409,Marques Bragg,"Bragg, Marques",1995,Y,66,marques_bragg,0,,,,0,,1995
410,Torraye Braggs,"Braggs, Torraye",2003,Y,1765,torraye_braggs,0,,,,0,,2004
411,A.J. Bramlett,"Bramlett, A.J.",1999,Y,1920,a.j._bramlett,0,,,,0,,1999
412,Adrian Branch,"Branch, Adrian",1986,Y,76237,HISTADD_adrian_branch,0,,,,0,,1989
413,Elton Brand,"Brand, Elton",1999,Y,1882,elton_brand,1,PHI,Philadelphia,sixers,1610612755,76ers,2015
414,Terrell Brandon,"Brandon, Terrell",1991,Y,210,terrell_brandon,0,,,,0,,2002
415,Bob Brannum,"Brannum, Bob",1949,Y,76238,HISTADD_bob_brannum,0,,,,0,,1954
416,Brad Branson,"Branson, Brad",1981,Y,76239,HISTADD_bradley_branson,0,,,,0,,1982
417,Jesse Branson,"Branson, Jesse",1965,Y,76240,HISTADD_jesse_branson,0,,,,0,,1965
418,Jim Brasco,"Brasco, Jim",1952,Y,76241,HISTADD_jim_brasco,0,,,,0,,1952
419,Mike Bratz,"Bratz, Mike",1977,Y,76242,HISTADD_mike_bratz,0,,,,0,,1985
420,Carl Braun,"Braun, Carl",1947,Y,76243,HISTADD_carl_braun,0,,,,0,,1961
421,Tim Breaux,"Breaux, Tim",1994,Y,160,tim_breaux,0,,,,0,,1997
422,J.R. Bremer,"Bremer, J.R.",2002,Y,2452,j.r._bremer,0,,,,0,,2003
423,Pete Brennan,"Brennan, Pete",1958,Y,76245,HISTADD_pete_brennan,0,,,,0,,1958
424,Tom Brennan,"Brennan, Tom",1954,Y,76246,HISTADD_tom_brennan,0,,,,0,,1954
425,Randy Breuer,"Breuer, Randy",1983,Y,76247,HISTADD_randy_breuer,0,,,,0,,1993
426,Corey Brewer,"Brewer, Corey",2007,Y,201147,corey_brewer,1,HOU,Houston,rockets,1610612745,Rockets,2017
427,Jamison Brewer,"Brewer, Jamison",2001,Y,2249,jamison_brewer,0,,,,0,,2004
428,Jim Brewer,"Brewer, Jim",1973,Y,76248,HISTADD_jim_brewer,0,,,,0,,1981
